date,headline,source,sentiment
2020-12-27 08:00:00+00:00,"Govt shells out Rs 22,087 cr as interest towards recap bonds for banks",Business Standard,0.03955973498523235
2020-11-18 08:00:00+00:00,Why your personal inflation rate may be much higher than the official number,Moneycontrol,-0.12509266287088394
2020-07-23 07:00:00+00:00,LICHF cuts home loan rate to 6.9%,The Times of India,-0.5259247347712517
2020-08-01 07:00:00+00:00,Negative real rates may be a new normal: SBI report,The Financial Express,-0.1665957346558571
2020-09-21 07:00:00+00:00,Shriram City Union Finance offers highest interest rate on fixed deposits in the market,ANI News,0.11447788681834936
2020-09-02 07:00:00+00:00,PPF Interest Rate History 1968 to Present,freefincal,-0.016158079728484154
2020-10-04 07:00:00+00:00,"Latest Post Office interest Rates – Jul, Aug and Sep 2020",Myinvestmentideas,-0.023355847224593163
2020-09-15 07:00:00+00:00,SBI gives home loan borrowers option of moving to new rate regime,Mint,0.040692972019314766
2020-11-06 08:00:00+00:00,"Punjab & Sind, Central and Canara banks offer the cheapest car loans",Moneycontrol,0.4801939772441983
2020-07-29 07:00:00+00:00,Lower rates an opportunity to re-negotiate your home loan interest,Business Standard,0.15597016923129559
2020-11-12 08:00:00+00:00,"The cheapest home loans: Kotak Mahindra, Union Bank offer the lowest rates",Moneycontrol,-0.5706638172268867
2021-06-17 07:00:00+00:00,The Response of the Reserve Bank of India to Covid-19: Do Whatever it Takes,CSEP India,0.029298339039087296
2021-06-30 07:00:00+00:00,How has Covid-19 affected India’s economy?,Economics Observatory,-0.6987377293407917
2021-05-28 07:00:00+00:00,Inflation in India: Structural or Transitory? - A closer look,Invest India,0.01094091311097145
2021-02-05 08:00:00+00:00,"RBI leaves policy rates unchanged, accommodative stance of monetary policy to revive growth and mitigate impact of COVID-19",PIB,0.5167634366080165
2021-06-14 07:00:00+00:00,Should India Print Money to Recover From This Economic Slump?,factchecker.in,-0.029792949557304382
2021-03-24 07:00:00+00:00,"How do fiscal, monetary policies, and trade openness impact interest rates in India?",Wiley Online Library,-0.24536609277129173
2021-02-23 08:00:00+00:00,Minimum Interest Rates on loans to foreign WOS – Need for Review,Cyril Amarchand Mangaldas,-0.016885539516806602
2021-01-18 08:00:00+00:00,Post-Pandemic Economic Recovery: Seven Priorities for India,orfonline.org,0.1421938855201006
2021-02-24 08:00:00+00:00,India : from loans to credit since 4000 years and the existence banks for 2500 years,CADTM,0.022847408428788185
2021-06-07 07:00:00+00:00,ExplainSpeaking: The state of Indian economy’s past and future in six charts,The Indian Express,0.0321477297693491
2021-02-02 08:00:00+00:00,How fast can India’s economy grow?,Schroders,0.21291645430028439
2021-03-02 08:00:00+00:00,Why fixed depositors investors can expect higher interest rates ahead and what they should do now,The Economic Times,-0.025053396821022034
2021-04-01 07:00:00+00:00,India rolls back decision to cut interest rates on small savings,Reuters,-0.3084348142147064
2021-01-07 08:00:00+00:00,India’s economy braces for biggest contraction since 1952,Al Jazeera,-0.8820669092237949
2021-04-08 07:00:00+00:00,Explained: Benefits and drawbacks of low interest rate regime,India Today,0.05401308834552765
2021-03-23 07:00:00+00:00,BofA says Covid crisis will delay India overtaking Japan as third-largest economy by 3 years,CNBC,-0.8645394016057253
2021-02-04 08:00:00+00:00,RBI holds rates steady,Reuters,0.01729411631822586
2021-05-13 07:00:00+00:00,A transition away from LIBOR – What it means for ECB lending in India,Cyril Amarchand Mangaldas,0.1765813883394003
2021-05-28 07:00:00+00:00,"COVID-19 toll on Indian economy deepens, jobs crisis to worsen: Reuters poll",Reuters,-0.7036981210112572
2021-04-01 07:00:00+00:00,4% Inflation Target Retained by Government,Drishti IAS,0.06202923506498337
2021-01-15 08:00:00+00:00,Home loan interest rates: Check the latest rates of top banks,India Today,-0.016379907727241516
2021-02-05 08:00:00+00:00,"RBI keeps repo rate unchanged at 4%, pegs GDP growth at 10.5%",The Times of India,0.18511560931801796
2021-04-07 07:00:00+00:00,"RBI Monetary Policy Highlights: Growth currently not undermined due to rising COVID-19 cases, says RBI Governor",Moneycontrol,-0.39229488372802734
2021-06-03 07:00:00+00:00,India Central Bank Expands QE as Growth Seen Faltering,Bloomberg.com,-0.919891120865941
2021-04-06 07:00:00+00:00,"Union Bank, Central Bank of India offer the lowest interest rates on personal loans",Moneycontrol,-0.1083263773471117
2021-03-25 07:00:00+00:00,"India to be the third largest economy in 10 years: Indranil Sen Gupta, BofA Securities",The Economic Times,0.17817619815468788
2021-03-20 07:00:00+00:00,How did inflation targeting really impact India?,The Indian Express,-0.16254597157239914
2021-03-01 08:00:00+00:00,SBI reduces home loan interest rates to 6.70%,The Times of India,0.07065511494874954
2021-06-04 07:00:00+00:00,RBI Monetary Policy Review: Repo rate remains unchanged at 4%%,Elets BFSI,-0.10070685297250748
2021-03-31 07:00:00+00:00,"India Retains Inflation Target, Keeps Borrowing as Planned",Bloomberg.com,0.21875320188701153
